from_addr,sh_tx,delay_h,sh_amt,un_amt,amt_ratio,self_bc,tok,from_in_ppoi,sh_tx_in_ppoi,any_ppoi_hit,is_forced_candidate,is_candidate_loose
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x0f5de673426561f816d041e013aa9f144c083176f99be2978d13c8dd9fe2bb1e,191.19333333333333,1.13778433506023,0.9163195192155036,0.8053543109881164,False,WETH,False,False,False,False,False
0x18c65ba5cf74a674e8aeea53ed5a6ef9c41d1662,0xac1ac4989c9b592172bacf719ea3835639732a33d704559bdbc318b0334cd506,12.633333333333333,0.0009975,0.0002278170918853,0.22838806204040102,False,WETH,False,False,False,False,False
0x18c65ba5cf74a674e8aeea53ed5a6ef9c41d1662,0x8b507cf87e9740b7179d267e94e3b779de1107233478add1a97d5bd05e0a20e2,12.876666666666667,0.001,0.0002278170918853,0.2278170918853,False,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x67423484ab4297cee202015f2920fb01519a7350f5f56518e9d3fccc9511af3f,209.88666666666666,0.7981462771839237,0.9163195192155036,1.1480596294309948,False,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x1c65c572c8be25f1e68d10d388d10dbbe1a5737afde85f89ac65504feaa34065,49.32,1.9262683857345275,0.009975,0.0051784061213237,False,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x1c65c572c8be25f1e68d10d388d10dbbe1a5737afde85f89ac65504feaa34065,49.333333333333336,1.9262683857345275,1.597918955859864,0.8295411831983855,True,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x131483e66fbde055b7754a42a30e39451ad53953f47852c8bcd5a95fba744267,256.14666666666665,0.6213947364119086,0.9163195192155036,1.4746174460803543,False,WETH,False,False,False,False,False
0x48a3b75939efbc54fd7ee10b4536757929309854,0xe62c39536b1a38db479ec712cafb706159d8c4cf79eda7482fb327a6499cf045,149.67,0.1407581602028633,0.0019,0.01349832931363755,False,WETH,False,False,False,False,False
0x48a3b75939efbc54fd7ee10b4536757929309854,0x722d9228a18d980560e129a83017aa48a41c8c48ffeec180f20963be64246e9d,150.76333333333332,0.0018657823310677,0.0019,1.0183395824703296,False,WETH,False,False,False,False,False
0x7d4aaad926e56372e33fc20320de2a2b16a7fd86,0x0e19d1bc0d3eeccfcfdc1a5fbbd14bc7e46ccfc7d2617e794d4680925f7fc223,4.29,0.005985,0.0059700375,0.9974999999999999,True,WETH,False,False,False,False,True
0x352c937dd4b564887d19dcf396fb9438ac4343de,0xc247c4180eaaa78d40bbf49cf870cafeff21f21d7010b0de7500406a281e30cf,126.68,0.0015078459293594,0.0029925,1.984619211905388,False,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0xa8a20a421bb617a04a03fbbd6c135f89cdbcc3a1268d38977423603885dd7f17,311.16333333333336,1.7650458881361473,0.9163195192155036,0.519147703396606,False,WETH,False,False,False,False,False
0x5a93e83d12a66b5cd260457c2bb51b8ed490371d,0x549c318affa338cce373049e21cfa9e64364e1d965a7df127c3c9ae84db76af1,532.2166666666667,0.49,0.4868081232623212,0.9934859658414719,False,WETH,False,False,False,False,False
0xcd372a9aaea2b12ac36564c0077b44dbc42d4a6f,0xdaefd8132aae5983bea7d1125cc7de66f9541f7008b935ed40f016aedbf0dcae,24.123333333333335,0.0080200501253132,0.0078539403381332,0.9792881859109936,False,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x4e812bcf4e6c3764b76bb5fc264100f227756eb719a901ff8f297d2bb706c454,96.09,9.7755,1.9310961260496515,0.1975444863229146,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x4e812bcf4e6c3764b76bb5fc264100f227756eb719a901ff8f297d2bb706c454,145.49,9.7755,0.009975,0.0010204081632653062,False,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x4e812bcf4e6c3764b76bb5fc264100f227756eb719a901ff8f297d2bb706c454,145.50333333333333,9.7755,1.597918955859864,0.1634616087013313,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0xc4f3670e3219c114657956dd0d37d948bfa3ac3d32a4746344cb19227e898cf5,96.26666666666667,384.9721739954862,1.9310961260496515,0.005016196640935128,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0xc4f3670e3219c114657956dd0d37d948bfa3ac3d32a4746344cb19227e898cf5,145.66666666666666,384.9721739954862,0.009975,2.59109636327039e-05,False,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0xc4f3670e3219c114657956dd0d37d948bfa3ac3d32a4746344cb19227e898cf5,145.68,384.9721739954862,1.597918955859864,0.004150738842435401,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,1.8366666666666667,0.09975,0.9975,10.0,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,2.0,0.09975,249.375,2500.0,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,2.0533333333333332,0.09975,132.56775000000002,1329.0,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,2.1233333333333335,0.09975,0.9975,10.0,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,2.24,0.09975,1.9992665368282527,20.0427722990301,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,98.56333333333333,0.09975,1.9310961260496515,19.35935965964563,True,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,147.96333333333334,0.09975,0.009975,0.09999999999999999,False,WETH,False,False,False,False,False
0xd522cd3311a2f25c6fc6efc36ad03e7eb34c1702,0x28db682510d1e6bbb42e9baf616d1bf6818e957ec4e0f0ea8b8cfd3c37305ad3,147.97666666666666,0.09975,1.597918955859864,16.019237652730467,True,WETH,False,False,False,False,False
0xda88785f772d2b9bb1cd02e4fcf93d14ec903773,0xfb112b23a089c562d1ee182c54595f5b581470cbf0ec205cdb9dd0d749d9f7dc,3.3866666666666667,0.197106,0.001,0.005073412275628342,True,WETH,False,False,False,False,False
0x2df1436af6fa5e892411ce59760b36d64296425b,0x5e739e2a4415201d5afa6677b992db4c19c3e8b49c31e996dd6dbcc4b75450e0,2.7866666666666666,99.1515,98.90362125,0.9975,False,WETH,True,True,True,False,True
